date	artist	song
12/11/76	Rod Stewart	Tonight's The Night (Gonna Be Alright)
12/4/76	Rod Stewart	Tonight's The Night (Gonna Be Alright)
11/27/76	Rod Stewart	Tonight's The Night (Gonna Be Alright)
11/20/76	Rod Stewart	Tonight's The Night (Gonna Be Alright)
11/13/76	Rod Stewart	Tonight's The Night (Gonna Be Alright)
11/6/76	Steve Miller	Rock'n Me
10/30/76	Chicago	If You Leave Me Now
10/23/76	Chicago	If You Leave Me Now
10/16/76	Rick Dees & His Cast Of Idiots	Disco Duck (Part I)
10/9/76	Walter Murphy & The Big Apple Band	A Fifth Of Beethoven
10/2/76	Wild Cherry	Play That Funky Music
9/25/76	Wild Cherry	Play That Funky Music
9/18/76	Wild Cherry	Play That Funky Music
9/11/76	KC And The Sunshine Band	(Shake, Shake, Shake) Shake Your Booty
9/4/76	Bee Gees	You Should Be Dancing
8/28/76	Elton John & Kiki Dee	Don't Go Breaking My Heart
8/21/76	Elton John & Kiki Dee	Don't Go Breaking My Heart
8/14/76	Elton John & Kiki Dee	Don't Go Breaking My Heart
8/7/76	Elton John & Kiki Dee	Don't Go Breaking My Heart
7/31/76	The Manhattans	Kiss And Say Goodbye
7/24/76	The Manhattans	Kiss And Say Goodbye
7/17/76	Starland Vocal Band	Afternoon Delight
7/10/76	Starland Vocal Band	Afternoon Delight
7/4/76	Wings	Silly Love Songs
6/26/76	Wings	Silly Love Songs
6/19/76	Wings	Silly Love Songs
6/12/76	Wings	Silly Love Songs
6/5/76	Diana Ross	Love Hangover
5/29/76	Diana Ross	Love Hangover
5/22/76	Wings	Silly Love Songs
5/15/76	The Sylvers	Boogie Fever
5/8/76	John Sebastian	Welcome Back
5/1/76	Bellamy Brothers	Let Your Love Flow
4/24/76	Johnnie Taylor	Disco Lady
4/17/76	Johnnie Taylor	Disco Lady
4/10/76	Johnnie Taylor	Disco Lady
4/3/76	Johnnie Taylor	Disco Lady
3/27/76	The 4 Seasons	December, 1963 (Oh, What a Night)
3/20/76	The 4 Seasons	December, 1963 (Oh, What a Night)
3/13/76	The 4 Seasons	December, 1963 (Oh, What a Night)
3/6/76	The Miracles	Love Machine (Part 1)
2/28/76	Rhythm Heritage	Theme From S.W.A.T.
2/21/76	Paul Simon	50 Ways To Leave Your Lover
2/14/76	Paul Simon	50 Ways To Leave Your Lover
